id,topic,difficulty,concept,question,mediaType,mediaUrl,mediaSource,optionA,optionB,optionC,optionD,correctAnswer,explanation
cm-i-004,Camera Movement,Intermediate,Identification,What is this camera movement called?,gif,https://asset.eyecannndy.com/media/clip/2024/01/28/261706478966.webp,"""Eyecandy - Scream VI""",Pedestal,Tilt,Arc,Vertigo,A,"This is a pedestal movement. Here a pedestal (ped up/ped down) moves the camera vertically up or down while keeping it level, like an elevator. Different from tilting (which rotates). Requires a pedestal mount or jib. Used to follow vertical action while maintaining level framing or to reveal elements by changing camera height."
cm-i-005,Camera Movement,Intermediate,Identification,What is this camera movement called?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/58-The-Ehip-Pan-or-Swish-Pan-Movement.gif,"""Wolfcrow - La La Land""",Slow shutter,Whip pan,Timelapse,Slow motion,B,"This is a whip pan, and it is when the camera pans left or right at a high speed creating streaks of motion blur. This technique has been used innumerable times to hide cuts within the scene and make it look like the scene has been shot in one take. The most famous use of the whip pan in modern filmmaking would be by Damien Chazelle in Whiplash and La La Land.   "
cm-i-006,Camera Movement,Intermediate,Identification,What is this camera movement called?,gif,https://asset.eyecannndy.com/media/clip/2024/05/13/261715574714.webp,"""Eyecandy - Positions by Ariana Grande""",Zoom in,Push in,Reveal,Dolly zoom,D,"This is dolly zoom. The dolly zoom is like the mullet of camera techniques - business in the front, party in the back. It's used to create a disorienting and intense effect that's perfect for showcasing moments of shock or realization."
cm-i-007,Camera Movement,Intermediate,Identification,What is this camera movement called?,gif,https://asset.eyecannndy.com/media/clip/2024/03/10/261710032908.webp,"""Eyecandy - The Gentlemen""",Gimbal,Static shot,Steadicam ,Zoom in,C,This is a steadicam movement. Mounting the camera on a steadicam will always give you stable and steady footage. Steadicam operators often move in every plane humanly possible. The professional’s choice to shoot will always be with a steadicam.
cm-i-008,Camera Movement,Intermediate,Definition,What is a dolly zoom (Vertigo effect)?,gif,https://asset.eyecannndy.com/media/clip/2024/05/13/261715574714.webp,"""Eyecandy - Positions by Ariana Grande""",Digital zoom,Fast dolly movement,Dolly and zoom simultaneously in opposite directions,Smooth zoom,C,"Dolly zoom (Vertigo effect, contra-zoom, Hitchcock zoom) dollies camera in one direction while simultaneously zooming in opposite direction. Subject stays same size but background dramatically expands or contracts, creating disorientation. Hitchcock invented this for 'Vertigo' to convey vertigo—now used for shock, realization, or psychological moments."
cm-i-009,Camera Movement,Intermediate,Definition,What is a reveal?,gif,https://asset.eyecannndy.com/media/clip/2024/05/15/261715813119.webp,"""Eyecandy - Espresso by Sabrina Carpenter""",Lighting change to reveal more elements on screen,Camera movement or framing change that reveals previously unseen elements,Exposure adjustment to reveal more elements on screen,Revealing plot information to viewers,B,"Reveal is camera movement or framing change uncovering previously unseen elements, creating surprise or new information. Can be achieved through dolly, pan, tilt, rack focus, or subject movement. Effective reveals control information release, creating suspense, surprise, or dramatic impact by strategically showing and hiding elements."
cm-i-010,Camera Movement,Intermediate,Definition,What is motivated camera movement?,gif,https://asset.eyecannndy.com/media/clip/2024/01/28/261706478966.webp,"""Eyecandy - Scream VI""",Camera movement justified by subject action or story logic,Director's creative choice for camera movement,Random camera movement to confuse viewers,Movement inspired by soundtrack music,A,"Motivated camera movement is justified by subject action, story logic, or visual cues within the scene. Movement follows action, reveals information as characters discover it, or responds to story events. Unmotivated movement feels arbitrary; motivated movement feels natural and story-driven, maintaining viewer immersion through logical visual responses."
cm-i-011,Camera Movement,Intermediate,Definition,What is a pushIn?,gif,https://assets-static.invideo.io/files/ezgif_com_gif_maker_4_2_8dedfb2b3d.gif,"""Invideo""","Fast, deliberate dolly toward subject","Slow, deliberate dolly toward subject","Fast, deliberate dolly away from subject","Slow, deliberate dolly away from subject",B,"Push in is slow, deliberate dolly movement toward subject creating increasing intensity, intimacy, or emphasis. Used to heighten emotional moments, build tension, or draw viewer deeper into scene. Kubrick often uses slow push ins creating unease. More subtle and powerful than fast movement, the gradual approach builds psychological intensity."
cm-i-012,Camera Movement,Intermediate,Definition,What is a pullOut/pullBack?,gif,https://assets-static.invideo.io/files/ezgif_com_gif_maker_76_2fa82a62ed.gif,"""Invideo""",Dolly movement towards subject,Dolly movement away from subject,Pan movement towards subject,Pan movement away from subject,B,"Pull out (pull back) dollies away from subject, revealing broader context, showing isolation, or creating emotional distance. Often used at scene endings for perspective or revelation. Opposite effect from push in—while push in creates intimacy, pull out creates distance, perspective, or shows subject's place in larger environment."
cm-i-013,Camera Movement,Intermediate,Application,What is a Steadicam ballet?,video,https://www.youtube.com/watch?v=IwzF26o0AuU,"""Youtube - GAP x Katseye""",Musical sequence scene filming technique,Complex choreographed Steadicam movement following action fluidly,Spinning camera movement around subjects in scene,Dance sequence scene filming technique,B,"Steadicam ballet is complex, choreographed Steadicam movement flowing fluidly through space following action. Requires precise timing and choreography between operator, actors, and environment. Creates immersive, virtuosic one-takes. Scorsese's 'Goodfellas' Copacabana shot and Paul Thomas Anderson's 'Boogie Nights' opening are famous Steadicam ballets."
cm-i-014,Camera Movement,Intermediate,Application,What is parallax in camera movement?,gif,https://asset.eyecannndy.com/media/clip/2024/01/12/261705035292.webp,"""Eyecandy - Carnivale""",Measurement error resulting in unintended camera movement,Focus shift from characters in a scene,Lens distortion visible in a scene,Apparent position shift of objects at different distances when camera moves,D,"Parallax is the apparent position shift of objects at different distances when the camera moves. Foreground objects shift more dramatically than background objects. This creates sense of depth and three-dimensionality. Lateral camera movement maximizes parallax, making spaces feel more dimensional than static shots or zooms which don't create parallax."
cm-i-015,Camera Movement,Intermediate,Application,What is floating camera?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/Limbo-Shot-.gif,"""Wolfcrow - Get Out""","Smooth, dreamlike camera movement suggesting weightlessness or altered consciousness",Aerial shot of an entire scene,Underwater shooting to immerse subjects in a scene,Unstable camera movement throughout an entire scene,A,"Floating camera uses smooth, weightless-feeling movement suggesting dreamlike states, altered consciousness, or supernatural presence. Often achieved with Steadicam, drones, or wire rigs. Creates ethereal, otherworldly quality. Used for dream sequences, supernatural perspectives, or moments of transcendence. Terrence Malick's films often feature floating camera movements."
cm-i-016,Camera Movement,Intermediate,Application,What is camera rushing?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/93-Shaky-Cam.gif,"""Wolfcrow""",Speed ramping technique,Fast handheld movement creating urgency or chaos,Quick dolly forward movement towards subject,Hurried production process due to time constraints,B,"Camera rushing is fast handheld movement creating urgency, chaos, or frenetic energy. Operator literally runs with camera following action. Creates visceral, immersive intensity. War films and action sequences use rushing to put viewers in the chaos. '28 Days Later' and 'Saving Private Ryan' use camera rushing for intense immediacy."
cm-i-017,Camera Movement,Intermediate,Application,What is orbiting movement?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/76-The-Bullet-Time-Shot.gif,"""Wolfcrow - The Matrix""",Satellite shots around the earth,Rotating subjects in front of a static camera,Spinning camera towards a subject,Camera circling completely around subject,D,"Orbiting is camera circling completely around subject (360 degrees), showing them from all angles. Creates dramatic emphasis, shows subject comprehensively, or creates disorientation. Often slowed dramatically for impact. 'The Matrix' popularized bullet-time orbiting using motion control and multiple cameras for frozen-motion 360-degree views."
cm-i-018,Camera Movement,Intermediate,Application,What is oscillating camera movement?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/92-Camera-or-Image-Shaker.gif,"""Wolfcrow - The Matrix""",Vibrating camera movement,Wave motion camera movement,Shaking camera movement,Back-and-forth camera movement,D,"Oscillating camera movement rocks or moves back-and-forth creating tension, instability, or mimicking breathing/heartbeat. Can be subtle or pronounced. Used to create unease, suggest character's unstable mental state, or create rhythmic visual pattern. More deliberate than random shake, oscillation has pattern and purpose."
cm-i-019,Camera Movement,Intermediate,Application,What is camera breathing?,gif,https://asset.eyecannndy.com/media/clip/2024/01/01/261704118101.webp,"""Eyecandy - Breathe by Harley-Davidson""",Natural operator movement,Focus shift from characters in a scene,Subtle in-and-out movement mimicking human breathing,Lens breathing of a camera,C,"Camera breathing is subtle in-and-out movement mimicking human breathing, adding organic life to shots without being noticeable. Creates subconscious sense of presence and vitality. Many filmmakers add slight breathing to static shots preventing them from feeling dead. It's organic movement at human scale creating subtle dynamism."
cm-i-020,Camera Movement,Intermediate,Definition,What is snorricam (body-mount camera)?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/97-The-Body-Camera.gif,"""Wolfcrow""",Camera mounted to actor's body keeping them centered while background moves,POV camera facing main subject of a scene,Nose-mounted camera on main subjects of a scene,Specialised underwater camera equipment,A,"Snorricam (body-mount camera) mounts directly to actor's body keeping their face centered while the background moves around them. Creates surreal, disorienting effect. Used for altered states, drug experiences, or psychological distress. Darren Aronofsky uses snorricam extensively in 'Requiem for a Dream' and 'Black Swan' for subjective psychological intensity."
cm-i-021,Camera Movement,Intermediate,Application,What is motivated reframing?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/68-The-Stedicam-Movement.gif,"""Wolfcrow""",Adjusting framing based on subject movement or new story information,Adjusting framing based on director's preference,Random adjustments to oppose subject movements ,Accidental adjustment during shooting,A,"Motivated reframing adjusts composition based on subject movement or new story information entering frame. As actors move, camera compensates to maintain good composition. As new elements appear, camera adjusts to include them. Good reframing feels invisible and natural; poor reframing feels arbitrary or reactive. Skilled operators anticipate and reframe smoothly."
cm-i-022,Camera Movement,Intermediate,Definition,What is a swish pan (whip pan)?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/58-The-Ehip-Pan-or-Swish-Pan-Movement.gif,"""Wolfcrow""",Extremely fast pan ,Reverse pan,Slow smooth pan,Tilting pan,A,"Swish pan (whip pan) is extremely fast pan creating motion blur, used as transition between shots or locations. The blur acts as organic wipe. Common in action films, comedies, and energetic pacing. Edgar Wright uses swish pans extensively for comedy timing. More dynamic than cuts, they create kinetic connection between shots."
cm-a-001,Camera Movement,Advanced,Application,What is the 'push in to eyes' technique?,gif,https://asset.eyecannndy.com/media/clip/2023/12/20/261703047657.webp,"""Eyecandy - Full Metal Jacket""",General close-up to subject's face,Fast push in ending on subject's eyes,Zoom in to subject's eyes,Slow push in ending on subject's eyes,D,"Push in to eyes is slow dolly ending on subject's eyes, creating emotional intensity, intimacy, or moment of realization. Eyes are windows to soul; ending movement there creates maximum emotional connection. Used for character revelations, emotional peaks, or moments of understanding. Spielberg uses this technique frequently for emotional impact."
cm-a-002,Camera Movement,Advanced,Application,What is the walk-and-talk?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/63-The-Tracking-Shot.gif,"""Wolfcrow""",Following actors around a set,Rehearsal technique for actors on set,Steadicam/tracking following characters walking while conversing,Dialogue scene between two characters,C,"Walk-and-talk uses Steadicam or tracking to follow characters walking while conversing, creating energy and forward momentum while allowing dialogue. Aaron Sorkin shows ('West Wing') made this signature style. Requires precise choreography between actors, operator, and focus puller. Creates dynamic alternative to static dialogue coverage."
cm-a-003,Camera Movement,Advanced,Application,What is the 'impossible' camera move?,gif,https://asset.eyecannndy.com/media/clip/2024/01/10/261704864187.webp,"""Eyecandy - Chime by Woah""",Very difficult shot,CGI camera used to accomplish a shot,Failed shot attempt,Movement that would be physically impossible without digital assistance or wire removal,D,"Impossible camera move appears to do something physically impossible—passing through tiny gaps, flying impossible paths, or defying physics. Achieved through CGI, wire removal, or creative transitions hiding cuts. Fincher's work often includes 'impossible' moves. These showcase technical prowess and create immersive impossible perspectives."
cm-a-004,Camera Movement,Advanced,Application,What is camera choreography?,video,https://www.youtube.com/watch?v=IwzF26o0AuU,"""Youtube - GAP x Katseye""",Improvised movement of cameras as actors move around scene,Dance filming technique,Precisely planned and executed camera movement coordinated with actor blocking and action,Random movement to support actor blocking and action,C,"Camera choreography is precisely planned and executed camera movement coordinated with actor blocking, action, and timing. Like dance, it requires rehearsal and precise execution. Complex choreography creates virtuosic oners. Requires detailed planning, skilled operators, and perfect coordination between all elements. Kubrick and PTA are masters of camera choreography."
cm-a-005,Camera Movement,Advanced,Identification,What is this camera movement called?,gif,https://asset.eyecannndy.com/media/clip/2024/05/15/261715813119.webp,"""Eyecandy - Espresso by Sabrina Carpenter""",Arc,Reveal,Whip pan,Zoom out,B,"This is a reveal. In this filming technique, a character pops into frame or is revealed. This technique is used to introduce a character or an important element in a surprising or impactful way. There are various types of reveals, each serving different purposes in storytelling. Examples in Film: ""Jaws"" (1975): Directed by Steven Spielberg, the character of the shark is often revealed through sudden appearances, creating suspense and fear. ""The Shining"" (1980): Directed by Stanley Kubrick, Jack Torrance's sudden appearances around corners or in doorways create a chilling effect. ""Pulp Fiction"" (1994): Directed by Quentin Tarantino, characters often enter the frame in surprising ways that contribute to the film’s dynamic and engaging storytelling."
cm-a-006,Camera Movement,Advanced,Identification,What is this camera movement called?,gif,https://asset.eyecannndy.com/media/clip/2024/01/09/261704838004.webp,"""Eyecandy - The Rain (Supa Dupa Fly) by Missy Elliot""",Tilt,Split diopter,Arc,Fisheye,D,"This is a fisheye technique. It is a wide-angle lens technique that creates a distorted and circular perspective, often with a bulging effect on the edges of the frame. It's used in cinema to add a surreal and immersive quality to a scene, or to create a sense of claustrophobia and tension by emphasizing the surroundings."
cm-a-007,Camera Movement,Advanced,Identification,What is this camera movement called?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/89-Hyperlapse.gif,"""Wolfcrow""",Timelapse,Vertical slider,Hyperlapse,Slow motion,C,"This is a hyperlapse. Hyperlapse is achieved when a timelapse footage is combined with motion and it appears to move over great distances. It speeds up time and combining movement to timelapse can make the footage look more exciting. In Lucy by Luc Besson, hyperlapse was used to show that Lucy was racing through time herself. The uses of hyper-lapse in film are limited but that is not to say that they can be used for multiple purposes."
cm-a-008,Camera Movement,Advanced,Identification,What is this camera movement called?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/72-The-Fast-Zoom-In.gif,"""Wolfcrow - Django Unchained""",Push in,Zoom in,Push out,Fast zoom in,D,This is a fast zoom in. Here the camera zooms in on a wide angle and also to a close up to create greater range in editing. Having a parfocal lens is detrimental to the execution of the fast zoom in movement. Stanley Kubrick has used this movement in The Shining. Another good example would be in Quentin Tarantino’s Django Unchained the introduction of Leonardo DiCapiro’s character.
cm-a-009,Camera Movement,Advanced,Identification,What is this camera movement called?,gif,https://asset.eyecannndy.com/media/clip/2023/12/29/261703842570.webp,"""Eyecandy - Ma""",Split diopter,Pedastal,Reveal,Split screen,A,"This is a split diopter. Here, two things in focus at the same time. It is used artistically as it needs to serve a purpose in the story. Orson Welles’s Citizen Kane has the most notable use of the Split Diopter shot whereas Brian De Palma is the one director who has used the split diopter extensively in his films."
cm-a-010,Camera Movement,Advanced,Identification,What is this camera movement called?,gif,https://asset.eyecannndy.com/media/clip/2024/04/01/261711985814.webp,"""Eyecandy - FEIN by Travis Scott""",Fast zoom in,Pan,Speed ramp,Double dolly,C,"This is a speed ramp. It is a shift in speed within the same shot, going from slow motion, standard speed, and fast motion."
cm-a-011,Camera Movement,Advanced,Identification,What is this camera movement called?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/62-The-Verticle-Slider-Shot.gif,"""Wolfcrow""",Slider,Split screen,Zoom,Vertical slider,D,"This is the vertical slider movement. It is the same as the slider movement, but the camera here moves vertically on a slider. Easy and cheaper substitute to getting a jib or a crane."
cm-a-012,Camera Movement,Advanced,Identification,What is this camera movement called?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/74-The-Vertigo-Shot.gif,"""Wolfcrow""",Zoom in,Vertigo,Falling,Dolly out,B,"This is vertigo movement. Combining the Zoom in with a Dolly out or a Zoom out with a Dolly in will lead to a vertigo movement. It is imperative to maintain the frame size of the shot otherwise the vertigo dissipates. This movement takes synergy and lot of practice to execute properly. But once executed properly, this movement can incite a different type of unease and unrest in the audience’s perspective. It can extend or reduce distances to the subject in frame. Majority of the effect has to do with the telephoto compression which gets toggled once you zoom in from a wide angle to a telephoto angle. It can be done slow or fast, slow for a subconscious effect and fast for an unnerving, apparent effect. This movement was first seen in Alfred Hitchcock’s Vertigo, hence the name. It is also called the Hitchcock shot or the Dolly Zoom. La Haine and Jaws are some of the films to use the Vertigo Movement. "
cm-a-013,Camera Movement,Advanced,Identification,What is this camera movement called?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/82-The-Robot-Arm-Movement.gif,"""Wolfcrow""",Robot arm,Crane,Steadicam,Vertigo,A,"This is a robot arm movement. To execute the robot arm movement, the camera is mounted on a robot arm like the Bolt which can be used to move very precisely and smoothly from one point to another. Cinematographers often use super slow motion with these arms. These arms can be used for action scenes and stunts. Otherwise use of this movement will be very stylized and subjective. Alfonso Cuaron’s Gravity relied heavily on these robot arms to create those perfect, precise and calculated shots that was needed to recreate floating in space somewhat accurately."
cm-a-014,Camera Movement,Advanced,Identification,What is this camera movement called?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/94-Extreme-Slowmotion.gif,"""Wolfcrow""",Zoom in,Extreme slow motion,Fisheye,Slow motion,B,This is extreme slow motion. This is when the subject is filmed at a greater fps than 1000 and then slowed down later in post is said to be in extreme slow motion. It is a very stylized choice for many filmmakers but certain shots will call for the use of this technique. It will be an extremely expensive affair as the technology of capturing footage at 1000+ fps has not yet been democratized.
cm-a-015,Camera Movement,Advanced,Identification,What is this camera movement called?,gif,https://asset.eyecannndy.com/media/clip/2025/02/10/261739172109.webp,"""Eyecandy - DENIAL IS A RIVER by Doechii""",Dolly,Zoom,Double dolly,Push In,C,"This is a double dolly. A staple of Spike Lee, this technique starts off as a traditional dolly zoom, except that the subject and camera are also in motion. So its a dolly zoom and a dolly — hence the 'Double Dolly' moniker"
cm-a-016,Camera Movement,Advanced,Definition,What is the 'God's eye transition'?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/God-eye-view.gif,"""Wolfcrow""",Spiritual shot that transitions into an ordinary one,Religious imagery as the focal transition point,High overhead shot transitioning between scenes or showing omniscient perspective,Bright lighting transitioning to dim lighting,C,"God's eye transition uses extreme overhead shot transitioning between scenes, creating omniscient perspective or bridging locations/times. The overhead angle suggests all-seeing, all-knowing viewpoint. Useful for showing geography, creating dream-like transitions, or suggesting fate/destiny perspective beyond characters' knowledge. Adds poetic, philosophical dimension."
cm-a-017,Camera Movement,Advanced,Definition,What is the compound move?,gif,https://asset.eyecannndy.com/media/clip/2024/03/24/261711254480.webp,"""Eyecandy - Life Has Different Paths by COACH""",Layered shot with different subjects,Combination of multiple movement types in single shot,Complex shot of different camera angles,Multiple camera setup to achieve a shot,B,"Compound move combines multiple movement types in single shot—simultaneously dollying, craning, and panning for example. Creates complex, three-dimensional camera paths impossible with single movement type. Requires sophisticated equipment and skilled operation. Modern technocranes enable compound moves previously impossible, creating immersive flowing camera work."
cm-a-018,Camera Movement,Advanced,Definition,What is the through-the-keyhole shot?,gif,https://asset.eyecannndy.com/media/clip/2024/01/10/261704864187.webp,"""Eyecandy - Chime by Woah""",POV shot of subject against a door,Voyeuristic framing of subjects,Close-up of a door e.g. keyhole,Shot through an impossibly small space e.g. keyhole,D,"Through-the-keyhole shot makes camera appear to pass through impossibly small spaces like keyholes, gaps, or tiny openings. Usually achieved through CGI, miniatures, or creative transitions. Creates voyeuristic perspective, impossible point of view, or showcases technical capability. Spike Jonze and Fincher use these for surreal, impossible perspectives."
cm-a-019,Camera Movement,Advanced,Definition,What is the rack and dolly?,gif,https://asset.eyecannndy.com/media/clip/2024/06/07/261717742460.webp,"""Eyecandy - Kodak by Onha""",Equipment setup strategy,Lighting and camera technique,Combining rack focus with camera movement to shift attention,Two-camera technique,C,"Rack and dolly combines rack focus (shifting focus between planes) with camera movement, creating complex attention shifts. As camera moves, focus shifts to different elements, guiding viewer through space and attention deliberately. More sophisticated than either technique alone, it creates layered, controlled viewer experience through combined techniques."
cm-a-020,Camera Movement,Advanced,Definition,What is the bullet-time effect?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/76-The-Bullet-Time-Shot.gif,"""Wolfcrow - The Matrix""",Capturing frozen moment from multiple camera angles creating rotating view,Fast shooting technique involving a camera attached to a high speed motor,Slow motion shot of subjects in a shoot out,Time manipulation filming technique,A,"Bullet-time uses array of still cameras capturing single moment from multiple angles, allowing time to freeze while perspective rotates around subject. Pioneered in 'The Matrix,' it creates impossible perspective shifts in frozen time. Requires extensive camera rigs and post-production. Shows impossible viewpoint combining time and space manipulation."
cm-a-021,Camera Movement,Advanced,Application,What is the concept of camera motivation hierarchy?,gif,https://asset.eyecannndy.com/media/clip/2024/01/28/261706478966.webp,"""Eyecandy - Scream VI""",Prioritizing movement difficulty by story necessity from essential to decorative,Prioritizing equipment importance by story necessity from essential to decorative,Prioritizing shot order by story necessity from essential to decorative,Prioritizing camera movements by story necessity from essential to decorative,D,"Camera motivation hierarchy prioritizes movements by story necessity: essential (must happen for story), justified (enhances story), and decorative (purely aesthetic). Strong filmmaking uses mostly essential and justified movement, minimizing decorative 'camera for camera's sake.' Each movement should serve story. Understanding this hierarchy prevents unmotivated, showy camera work."
cm-a-022,Camera Movement,Advanced,Application,What is the invisible camera movement philosophy?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/56-The-Static-Shot.gif,"""Wolfcrow""",Transparent cameras used to shoot,Hidden cameras used to capture scenes,Subtle movement of subjects in a scene,Movement so smooth and motivated viewers don't consciously notice it,D,"Invisible camera movement philosophy holds that camera movement should be so smooth, motivated, and story-driven that viewers don't consciously notice it. Movement serves story rather than calling attention to itself. Classical Hollywood style prioritizes invisible movement. Opposite of showy, virtuosic camerawork that deliberately showcases technique."
cm-a-023,Camera Movement,Advanced,Definition,What is the 'through-line' in camera movement?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/64-The-Crab-Shot.gif,"""Wolfcrow""",Story thread,Consistent directional logic maintained across multiple shots or sequences,Wire work,Movement path,B,"Through-line in camera movement maintains consistent directional logic across multiple shots or sequences. If camera moves left following a character, subsequent shots should maintain that directional consistency for spatial coherence. Through-line creates subconscious spatial understanding. Breaking through-line disorients; maintaining it creates clarity and flow."
cm-a-024,Camera Movement,Advanced,Application,What is the concept of movement cadence?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/82-The-Robot-Arm-Movement.gif,"""Wolfcrow - HUMBLE by Kendrick Lamar""",Rhythm and pacing of camera movements creating visual tempo,Movement speed in background creating visual tempo,Shot duration creating visual tempo,Camera timing creating visual tempo,A,"Movement cadence refers to rhythm and pacing of camera movements creating visual tempo. Fast cadence creates urgency; slow creates contemplation; varied creates dynamic rhythm. Like music, cadence affects emotional pacing. Paul Thomas Anderson varies cadence deliberately—slow contemplative moves contrasting with sudden rapid movements for rhythmic visual storytelling."
cm-a-025,Camera Movement,Advanced,Definition,What is the 'developing shot' technique?,gif,https://decider.com/wp-content/uploads/2026/01/INDUSTRY-403-OYSTER2.gif?w=642,"""Decider - Industry S4 E3""","Shot that evolves through movement, revealing or transforming meaning as it progresses",Long shot that provides insight to characters,Establishing shot that provides context to story,Film processing technique,A,"Developing shot evolves through movement, revealing or transforming meaning as it progresses. Begins showing one thing, but movement reveals it's actually something else or adds crucial context transforming initial read. Creates visual storytelling through movement rather than cutting. Requires careful choreography and spatial understanding to control information revelation."
cm-a-026,Camera Movement,Advanced,Application,What is the subjective movement approach?,gif,https://asset.eyecannndy.com/media/clip/2025/02/10/261739193778.webp,"""Eyecandy - Severance""",First-person camera movements only,Camera movement prioritizing POV shots,Camera movement guided by actor's preference,Camera movement mimicking character's physical or emotional experience,D,Subjective movement approach makes camera movement mimic character's physical or emotional experience. Drunk character = unstable camera; confident character = steady movement; fearful = quick reactive movement. Movement becomes character expression beyond just showing them. Creates deep identification by making viewers physically experience character's state through camera behavior.
cm-a-027,Camera Movement,Advanced,Application,What is the unmotivated camera movement?,gif,https://asset.eyecannndy.com/media/clip/2024/02/14/261707897751.webp,"""Eyecandy - The Menu""",Random camera movement,Accidental camera movement,Camera movement without story justification,Failed shot occurence due to camera failure,C,"Unmotivated camera move has no clear story justification, which typically feels wrong but can be effective for creating unease, suggesting unseen presence, or making artistic statement. Most movement should be motivated, but strategic unmotivated movement can suggest supernatural presence, create discomfort, or break naturalism deliberately for effect."
ca-b-001,Camera Angles,Beginner,Identification,What camera angle is this?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/Drone-Shot-1-1.gif,"""Wolfcrow""",High angle,Bird's eye view / Drone,God's eye angle,Low angle,B,The bird eye’s view or the drone angle will be a top down shot from the perspective of a drone or a bird. It can be used to create a sense of topography. This angle is mainly used to provide an overview of the place the scene is set in.
ca-b-002,Camera Angles,Beginner,Identification,What camera angle is this?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/Low-anglen-.gif,"""Wolfcrow""",Upside down angle,Fallen camera angle,Ground level angle,Low angle,D,"The inverse of the High angle shot, the Low Angle is achieved by pointing the camera up at the subject. To achieve this shot, you can place your subjects on a high ground or bring the camera down. This shot will show the subject to be dominant and powerful in the frame. Spike Lee is famous for using the low angle to show his protagonists in power.   "
ca-b-003,Camera Angles,Beginner,Identification,What camera angle is this?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/Eye-Level-.gif,"""Wolfcow""",Eye level,High angle,Shoulder level,Bird's eye view,A,"This is an eye level shot and this angle is achieved when the camera is placed at the eye level of the subject in the frame. This angle is often complimentary to the normal shot, somewhere in the vicinity of what the human eye sees.  This will be the most used shots for dramas, sitcoms, comedies etc."
ca-b-004,Camera Angles,Beginner,Identification,What camera angle is this?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/High-Angle-.gif,"""Wolfcrow""",POV,Bird's eye view / Drone,High angle,Aerial,C,"This is a high angle and the camera in this shot will be looking down on the subject. Often times to achieve this angle, the camera will be placed higher than eye level. This placement is used to create a sense of power or domination over the subject in the frame. Often this angle has been used to show the subject as weak or powerless. It can also be used to show the character reaching out to their creator."
ca-b-005,Camera Angles,Beginner,Identification,What camera angle is this?,image,https://pixflow.net/blog/wp-content/uploads/2025/02/Mastering-the-Hip-Level-Shot.webp,"""Pixflow""",Over the body,Hip level,POV,Cowboy angle,B,This is a hip level shot and it is captured when your camera is roughly waist-high.
ca-b-006,Camera Angles,Beginner,Identification,What camera angle is this?,image,https://hometheaterhifi.com/wp-content/uploads/2018/06/gump4.jpg,"""HomeTheatreHifi - Forrest Gump""",Over the body,Eye level,Hip level,Knee level,D,"This is a knee level shot and is captured when the camera height is about as low as the subject’s knees. This angle can emphasize a character’s superiority, if paired with a low angle."
ca-b-007,Camera Angles,Beginner,Identification,What camera angle is this?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/Ground-Level-.gif,"""Wolfcrow""",Ground level,Worm's-eye view,Fallen camera angle,Upside down,A,"This is a ground level angle as the camera is at ground level to capture the image. This angle has been used a lot to show people that have fallen on the ground, like a protagonist who has had a hard fall. This angle can also be used an introductory shot for a presumably powerful person. This angle can also be used to show someone down on their luck."
ca-b-008,Camera Angles,Beginner,Identification,What camera angle is this?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/Dutch-Angle-.gif,"""Wolfcrow""",Eye level angle,Low angle,Dutch angle  ,Over the shoulder,C,"This is a dutch camera angle, and in this camera angle the horizon is not leveled but tilted to one side. This angle is a stylized choice and can be very useful for foreshadowing. The Dutch camera angle is often used to paint a character in an evil color. It is also used to create a sense of unrest in the audience’s minds. "
ca-b-009,Camera Angles,Beginner,Identification,What camera angle is this?,image,https://asset.eyecannndy.com/media/clip/2024/02/04/261707021425.webp,"""Eyecandy - Do Revenge""",Eye level angle,Aerial,High angle,God's eye angle,B,"This is an aerial shot. Whether taken from a helicopter or drone, this is a shot from way up high. It establishes a large expanse of scenery. The opening shots of one of the best cyberpunk movies Blade Runner use them to establish futuristic cityscapes."
